username,name,wallet,total_score,total_posts,total_views,point_percentage
efo_xx,@efo_xx,0xd758e4edbf63c23957214282b13ca9bfb5b72676,9.29,2,1972,0.15
bigfarm_x,BigFarm 🌸,0xf93a9bd47f02cb3e89d5e9d0fbd18e4a21ff9511,9.26,4,3424,0.15
Javedofficial0,Javedofficial0,0x960a70834597D44f21495dFC832954fE24e3B58a,9.25,1,2973,0.15
Just_johnny4,Papy,0x2A4AC7409D43D111A3E471087226618538fF2B71,9.25,1,1021,0.15
mdTarik1390649,Tarik_DeFi,0xB6381D7958EB73E0f8771FDf3350B33d4bB9f235,9.25,1,516,0.15
kodd25,Benjamin,0xA316547E27bCF7F175eF4d5044D22Da6AE6d9edc,9.25,1,812,0.15
Mr_Frank5,Frank,0xB5f319AaB9a35cFaf7b079c20cC43590Fb1252F0,9.25,2,59,0.15
tldn43,loni taft,0xb96cbccd63d9e6f38c1c051a7e3d9bd63589d405,9.25,2,115,0.15
KingandNFT,ERKAN,0x3F31Fd7A98f90638b1263AAe656aF79A2002dc1B,9.25,1,3876,0.15
teesjnr,Taheer,0x45b97f753f7cdbf2bc70fe013b854adb714a13b3,9.25,1,499,0.15
WBteamz,Phan Minh Hiếu,0x664784B2a4019B85AA095488efa86FCe4e85d8a6,9.25,1,3288,0.15
cryptoverse67,cryptoverse.sui,0x5768fEE0a0b0A8EB28C4AE5c0eB39C50f084064C,9.20,7,1211,0.15
Agathak1mberly,Agatha,0xD1a1287DD299Cfe890DeD2AB34290553ee010Fd3,9.12,1,496,0.15
alexxx6363,Udom Sunday,0xd4cc8bd67f7bCdAA427a120119ffcff0D4182b1c,9.09,4,5301,0.15
jvstme_ophyxial,Val 情人 🀄️,0xccb315688fca77a423523101da5efc9043d8ff4b,9.00,1,691,0.15
Dannyboy_0x,Dannyboy,0x081d4609e4948e678021112fac0c442d4f6d355b,9.00,1,2432,0.15
MustafaKOPAN11,Mustafa,0xfe4a4Bda927BDEe6f6650d419Fd3cD9018d4660D,9.00,2,195,0.15
JupXeno,Nguyen Huu Phuc,0xE44D72598D16132214D38ad499880AA1cdA05372,9.00,2,286,0.15
saintlee04,saint lee,0xfe3bc1eb469c70bfb462a9e208826e990bb078c0,8.95,2,559,0.15
prayz_dev,ᑭᖇᗩY乙,0x1d7Af3d1de21354BBFFE7d22761AeDDCBE71D216,8.88,1,1479,0.15
rmvai640,t0xic🦠,0x8E0eCa460Cf2940B69cc6984E75c6Bdafc55323D,8.73,1,386,0.14
0x_orwell,orwellbtc,0xc34Cbe021F3b28CA8f949ee8C16CD5d29546F9d2,8.72,2,1900,0.14
linh180796,Nguyễn Thị Linh ❤️,0x79F65dF4DadfDEf7eb29197D92d456CAC87eA738,8.69,4,320,0.14
devcraft05,Abiola Afolarin,0x85293459625474693ee335f430be38e7e84516e6,8.51,1,1231,0.14
pro_hi2592005,AnhsDuc,0x94F4e89c91BD375Eb9aa78E4bDbDd67cbF12e18A,8.50,2,281,0.14
Abdulhakeemson0,Abdulhakeemson,0xbe65fa54eb13e60a42c29ed96ceceeecd31d56dd,8.50,1,351,0.14
Ringman90,Onyebuchi,0x149d485f982015b9fa7071dfbbcad66b494cb9e5,8.42,1,2151,0.14
phuongphuong,Phuong 👊,0x2c8165f7636b6a020727b756f5a48438371317df,8.34,1,2079,0.14
tamtd,tamtd,0x82032F4f85f4A9ADfC0B1a881D7c8C93653E4812,8.33,2,655,0.14
Iamscott08,Scott,0xed3624c2f9e5cfed7b045141b5d1df68f9a960e6,8.27,1,558,0.14
Paulxbtc,Paul,0x7c818C391Db52bEB3F77DD6BF4468eaC5518fFC1,8.25,2,412,0.14
yuhveil2_2,Hoang Huy,0x5c3f31561228fff228fff16b48007375336cde56,8.25,2,128,0.14
MsxChriz,MsxChriz,0xe9f1e71E409cF1808925519d427Aa5AC65396Fd0,8.21,2,888,0.13
GhazalBasma,GhazalBasma,0x5129aA3ad7Dd8539bc3929702686FfcFa9f024C9,8.03,2,626,0.13
0xEccentric,Adeyinka,0xB794CbB6FDca6E47d537De61010675669A86Ff57,7.95,1,344,0.13
BabuAlx86,Babu Saha,0xef084f79208db9d282df5470640de93196dc52de,7.89,1,533,0.13
emiremetax,Emire,0x4EA3e78C11FcE7DD4d7e3AA8F37Cca193E9325B9,7.87,1,298,0.13
JuanJoParejo,JuanJoParejo,0x04301601de687236E912a8c22A31625D6EeA3c5F,7.74,2,747,0.13
0xSweetly,Sandy setiawan,0x7ec063ccee44945f2c6e7893aad91450a4d1275a,7.58,1,395,0.12
xel_god,li,0xcfdd620d944361a91860b846679594bceab2738c,7.57,2,402,0.12
binlan883,Brooklyn,0xC8678170e0E793AF3DaeEdbFB07c045a8b4bb393,7.50,2,283,0.12
Jani_Jenus,Pleiku - Phonui.eth,0xF4cEB967489c0ED4065cB48efF4506409B145ded,7.46,1,2897,0.12
BumPRx,atichat khunchumnan,0xa48b036b9FE9192552F6911c7d15d3b943e2811f,7.43,2,1129,0.12
tklaurie,tklaurie,0xE10F0b36A80086C451d21BbFeF6343392c3Ea63B,7.28,2,623,0.12
AgentMoonai,Blackwork_ai 🤖,0x9900224a463dbacab18e98dde640e3f08f3d7230,7.04,1,1821,0.12
ShinyNfts,ShinyNfts,0xFAD5098DBd9fDFf3e25151a13E8e40396AA0CF3f,7.00,1,401,0.11
hanifgaming123,Abuhanif,0x3430Ce58a8D5E3e31C1F73e0f3377BA65d92Aefb,6.96,1,2023,0.11
sanlouissk,Louisk,0x86c33d544a8fcf77cbbbfe5b17ca3542ab7abb9c,6.87,1,768,0.11
Ishaq0x_,Ishaq,0x6a5a3825554dDc464084909ffD722191708B1c0e,6.85,1,358,0.11
Ma_xeeno,MaXeeno 〽️,0x7e4db4461e75527f0a1edaf6e6bbff90f0bd57fc,6.83,6,4148,0.11
johnkelly639934,John kelly,0x4d2127Fbe2eF183135cE38C08f397C19901daD1C,6.75,2,20,0.11
thekrietor,Urteamsfavoritecoach,0xae982f37Ef5F7922b7A497cba3b23C441C7cac38,6.52,1,234,0.11
Bilivo8,Em Bi grvt🍏,0x9202744fc4f6ae71272f6204c707e1bfd3694fae,6.44,1,236,0.11
iam_REJOICE1,Rejoice,0x650E317113C7e883d58AbA5fbD472e5F195C27c3,6.23,1,210,0.10
CryptoLorento,lorento,0x564345897F26d1653A88BD1456d4090ebeB4405c,6.22,1,1156,0.10
cryptolorento,lorento,0x564345897F26d1653A88BD1456d4090ebeB4405c,6.22,1,1156,0.10
Nguoithieunhi,Tran Van Tuan,0x2e673d065258dbc4b640686e82968025c09feeb9,6.21,1,824,0.10
Punisher3505,Frank,0x9D3CA3A3Da4d033ACee296D4C1829cc5143e0fAE,6.20,1,719,0.10
Young3stOG,Young OG,0xAFE9f4654cD8237ffbbe9379F20021499Ba51431,6.01,1,202,0.10
juss_vedas,Juss,0x979Efc72454e7343b17180a92c53df87C5E3D562,5.66,1,619,0.09
0xfahadxy,FAHAD,0x15B47032e5D0ed4373E37Df8fB5962e88fA4dD89,5.59,1,251,0.09
8ighty4our84,8IGHTY 4OUR,0x7525c1edf43cdb991fdae5ec70bb4546e5aa0ce7,5.58,1,47,0.09
CryptoFoysal_,CRYPTO FOYSAL,0xd6F2F95A5fCDc00c53e2e638D56d5A50b7814b8b,5.50,1,51,0.09
0xMewMew,ha van tam,0xf75d6c7dcf9c707e0cbe7afaf88c915aafe06a14,5.50,1,148,0.09
Svrkee01,Ali,0x7eee4653d932dca391b94a807f7a0ec3dbaac8b0,5.48,1,188,0.09
0xulfr,motion.,0x70a64632342c465BFa08bb8c7e2d962cFdF1Dbe3,5.47,1,228,0.09
Sainoleno,Saino,0x0983e5fa77c7eD9F6337e39bb18a3C50947c5019,5.41,1,119,0.09
queotamky,le long binh,0x39134f5b54aae49a76c4c015c0a5c41241181e55,5.25,1,7,0.09
batinho13,batinho,0x81f28a69bd2ad3405b7a87272a10e2fb0b2bbfb0,5.25,1,11,0.09
NhiBestAD,CAO NGỌC SƠN,0x0e3d54f71600ad3e71ea8334177b441bb3ed8537,5.16,1,669,0.08
helpermc,Hellm | π,0xfd3b50bb02d9ef01c36703e49d050dfc3f5b3690,5.15,1,115,0.08
tidydls,TidʏĐ,0xee81995c3b0384dce542e99973594b07c8096c80,5.15,1,261,0.08
CrYpTo_MaTkA,Moeez,0x5eba6e6842ad7e314df0c71e0103de504a1e77c8,5.13,1,853,0.08
Chainbuilderpro,ChainBuilder.pro,0x73e5D578929799f707707B3e73adCb43907D5eA9,5.06,1,314,0.08
ridaatul_islam,Ridaatul Islam,0x27Ac609C4B4A2574a94F9d68ecA429CFA8738E6a,5.04,1,98,0.08
0xxjun,Nguyen Truong Thanh,0x566831fC407bD5406a865A29802bfA6F63dFDDbD,5.02,1,1009,0.08
KhaHuynh1995,Kha Huynh,0xFf9622a41d37760e390e577A581A13d1D7cD2EC7,5.00,1,207,0.08
Breathe_Agent,Breathe Agent,0x645f4dc1C08D30BC4c1763bb7A9F97E5f5AA3420,5.00,1,53,0.08
kaitran_94,zdapricorn.eth,0x88054bD4a3D77E11D09702532D594ecFA7777fBA,5.00,1,6,0.08
0xvinhpham,Vin,0x3aedb97569ad578038498af46f071045b1f36476,4.99,1,445,0.08
wilson_syo,Wilson,0xfe1D07F523ED7A45417Ec38bD78515828956c8AE,4.75,1,119,0.08
pogo7867,pogo,0x667Af77577F86C86252EC7e6C7Bc400E8494A8e1,4.75,1,48,0.08
Real_h_ero,Miizan,0xcd7fd3e0e6BbaF586439444284d8F228fA426B0D,4.75,1,172,0.08
Remigirl1919,16,0x93BBD282f808fd5dF7a9b5Ba23a7B64591D75e0F,4.72,1,659,0.08
tremstrak,monalisha,0x64d9D1b040FbbEb8119B779D4F4B91531A0Fe903,4.50,1,116,0.07
xsharedaily,NGO DUY DINH,0x1199c5df13deecdc03433df7dde890fbee56fc1e,4.50,1,20,0.07
takeoff_o2,Gabriel Adejuwon,0xb65c6b193a14f13da385eef227be9757fb73b321,4.50,1,52,0.07
derusxbt,dee,0xdDA875aB21eEFFEaE8DAfC5Ae3bFd21d9acE6d21,4.50,1,83,0.07
dqnnt1999,Duong Quoc Phat,0xc4f1e9000e039e97dc5092fba83c8d34dd41f727,4.50,1,65,0.07
DerusXBT,dee,0xdDA875aB21eEFFEaE8DAfC5Ae3bFd21d9acE6d21,4.50,1,83,0.07
NekiWeb3,Neki,0xa3a19133ad1b8a7140cb2f8d69bb40b546c68884,4.40,5,1660,0.07
Franklinn311,franklin,0x9EE7d46c895697cfDAA3863FEF9fbD942Bb9ee95,4.25,1,27,0.07
mohitfarazy01,Mohit Farazy | π² ☂️,0x9a185e76e57f472382c30f89a961fb22f9d9ee41,4.25,1,45,0.07
path9photos,path9photos,0xa06165FC508E7df5043dCA84ce7070F351eF8676,4.25,1,3,0.07
tcmalpha,alfakeko,0x471faf231212caad6554b4e3ec1fc5255f36f468,4.25,1,86,0.07
Vala6,Vala6,0x4898B1481cA18FD98ABA2b5Eb86B12eF6633c03D,4.25,1,3,0.07
TowerTemennigru,Kagan,0xD6846Eca71f7f57defEe8301142dcfb006E71140,4.25,1,40,0.07
shashibgowda,shashibgowda,0x1f51F7167A8B46cc6d5f2373649B897045a6f205,4.25,1,5,0.07
fasahmeta_x,Fasah,0xBD4Cc603cED7057fE1025A6101879cAA61ddb43B,4.18,1,184,0.07
iam_miyulux,iam_miyulux,0x128B4D9A062d137710F362d2b5c0B81E2726cC40,4.10,1,282,0.07
deborah09167,Adeniyi  Ifeoma Bisi,0xE45c4407c27fC6e27a716367e2FCB3c9A83B68e5,4.00,1,2,0.07
ptc123784,Mie,0xa34dd3f83e6db9affbc5a7a7e3fcef0d5a53dcab,4.00,1,82,0.07
teqsparx,teqsparx,0xDAb0219C241fF239e741614d84fedf27BC445Ea4,4.00,1,5,0.07
EminAhmadov14,EMİN,0x8b585A97ac32045A6C675462339928abF6f1d8f8,4.00,1,42,0.07
mucphone1,mucphone1,0xc0a26b567430e1b4708a26677c07b04e94e37a8c,4.00,1,6,0.07
Ola_of_Oyo,Olaniyi,0x3d3903152c3d5fbb4e1a8d2474e7fc4779ef00fc,4.00,1,31,0.07
kosturmabeni2,Sevgi.Eth ADD+,0x555Eb90bA0Fd7379eDcc5692F1a3A1c4D3155d8A,3.50,1,3,0.06
Area21SpaTampa,AREA,0x334B6C8C6CDa8A60B1F0619b8C1fc82dBEad81c0,3.50,1,4,0.06
dexterderler,İskender Kabul,0x3a5d74045A04f46C0FdAa9776FbFD317FFa7Ea68,3.50,1,12,0.06
Abri_crypto,Giang,0x6c64263Db81687f843B6Ab4A37977F8b940dFbb5,3.50,1,51,0.06
x420690,Jason,0x7046863ae4e11bf32d60b52c8bc23dd0cf31ecbf,3.50,1,6,0.06
Tam110723,Heart,0xc7AC22524dF380005C6D60B9d81f7a52a3B638E6,3.33,10,25142,0.05
azmangil76,ilker,0x1dB5E2D74313f7643955054d2518BEC663Bc9738,3.25,1,21,0.05
casio8112,Aleleeh,0x81c75e7249de85a36ff1103f048dcef162414188,3.25,1,86,0.05
Remzzyvibez,Vibers😇,0xd229E2eAe32F218311Dd93693217FF6dd5B87bF4,3.25,1,22,0.05
GpaAndy,Andy the Jet 🐬TermMax,0xfe2cB10B37Cb2060C21b1f4fB9Ac5e8AF1CdCA2D,2.83,4,9496,0.05
NguyenDoHoangNa,Nguyen Nam,0xb31fa6f0029377820c5c01216da717244b61a957,2.25,1,22,0.04
Darhtch,Phoenix-ranger,0x76dab6bce9bbdba28d562703abdcac2774c9f2dc,0.00,0,0,0.00
mandero128992,普特拉 🫎ASEAN LABS,0xC1311e508d9037B0b6bD4cd032Fbde20beBb8c76,0.00,0,0,0.00
0xr1chie,Richie,0x25a58F5033C901e535bfE23Ed89C68b8E87738c5,0.00,0,0,0.00
Staunch_idool64,𝔻ℝ 𝕊𝕋𝔸𝕌ℕℂℍ Ⓜ️ ⚡,0x48BBbB8989bCA0C9655Fbd716AC511a1F03E9d5F,0.00,0,0,0.00
i,vulcan,0x96993C0aB74299f3C304a08DE30Dc2a3f1E072b4,0.00,0,0,0.00
guxchn4,勾旭琛,0x5b452ed50b96e8d9501572675489b9774ad885d9,0.00,0,0,0.00
minyu1609,Cuowngf,0xf90225c6f9A8588235C67825FbAE4A4291d44b31,0.00,0,0,0.00
sashinmeeena,sashinmeena,0x3ae1Cfea83DA97D533Bb5f5E6E31C4ecDea3E057,0.00,0,0,0.00
readrest0,Youngmin Lee,0x02454407Cc4a7Dc79788372929bFc767d5e1D7e5,0.00,0,0,0.00
Cryptohustle360,Crypto Hustle,0xf2d11B5d9aE8c69D058Bb51E3a60077Ab8534b1E,0.00,0,0,0.00
Reeeaki,Reeeaki,0xEfd41D9d411D30aAe57A80B2D73c051e2F2d92Af,0.00,0,0,0.00
Sumon4447s,Sumon,0xFBBBCcda3Dc84a8580Fc27608a393da47f05C811,0.00,0,0,0.00
Johnny8_X,Johnny,0x5283Cbd0D32cB527338FaA5f514178D08DB0e8Bf,0.00,0,0,0.00
juan,Juan Comesaña,0x620aab731ce8704c3cb24a02f1106971525ecced,0.00,0,0,0.00
st243852,无法忍让🤖ボッ,0x93eecddd94fa42f1b0c082e79ea1998a91216acb,0.00,0,0,0.00
cv_alphas,CV alpha | 🐬TermMax,0x4450dB99260EC3140B4690F1c6bDd64d5d9644A9,0.00,0,0,0.00
makotomiyara,makotomiyara,0x013f042f100d65631B69FDEdB82A91047c7CC5E0,0.00,0,0,0.00
palash433,Palash,0xbd876C7dB94afF7780EaE9b3eE655d1949598af2,0.00,0,0,0.00
IParvel56536,PᐃVEL.eth🍌,0xC57336E882575Ae8d97ab6d73c4c02f82B449252,0.00,0,0,0.00
IndraDJuni,Indra DJ,0xb6A5feD504dF5c3a61B5bf83Fb01e5Eb1A7F3DbC,0.00,0,0,0.00
kaybee_mmg,Kaybee,0xa482b75728c194fbda749c3dedc8742a48461e75,0.00,0,0,0.00
tuty280699,ana moral,0x4Dee69f4B46F9Aa342CEac2418Aae65fF5cb62c7,0.00,0,0,0.00
zazayekta,Zuzu,0x6e50cdB7d4620621Aed3738c1c7409D8aa67A523,0.00,0,0,0.00
mehedi_onchain_,𝐌𝐞𝐡𝐞𝐝𝐢,0x14D21355Db8569736A583e0197385f5C26888Fbe,0.00,0,0,0.00
Razzshares,Razz Shares,0x5eBfb58618de32F9023a23e637Db3c640f381354,0.00,0,0,0.00
angelolamat,angelolamat,0xdffF91113Ee2eDB5577655f5C26592b3ca19FBfb,0.00,0,0,0.00
denizesevero,denizesevero,0xb6cB1C8CF1877BA98fB0E1887dC63eEE9CEF5855,0.00,0,0,0.00
lukas_vtn,lukas_vtn,0xC2797e281A4E46e6553C80Cc7b5A6ed629dC83Df,0.00,0,0,0.00
drpengu6,Dr Pengu,0x35be0738c74cfa88720b26b6d6c74ff373b767b1,0.00,0,0,0.00
sarahpalibino,sarahpalibino,0x2cd9e0663e6C52D4c468eE631e4d8969929F3C15,0.00,0,0,0.00
bitshadeth,bitshade,0xfb63477016f0804d5ca1280122db553480510b4d,0.00,0,0,0.00
asso7878,人机哥,0xcc46058308feec4d994703a3f7d0257ecb5500b3,0.00,0,0,0.00
XLmeta_x,XLⓂ️,0x697c9B0E6b16c1239d82F9f01D792796887a396b,0.00,0,0,0.00
Mr_A_PVT,OxMax 🌊,0x989CA9262d96B467DC8B03042F37A81A3b0368d1,0.00,0,0,0.00
MadarM49564,Cobra_10K,0x698173b62cb87686b2c038493bb9d538ac608287,0.00,0,0,0.00
Dreamsgrowth,Dreams Growth🍌,0x08725ab091B016470f5dE76677ac4Bd81beE5022,0.00,0,0,0.00
LenaLoup,LenaLoup,0xD9F4eFa8749bE3DD40b7d8A3b90A460A3aB45AF9,0.00,0,0,0.00
ahsanzohaib,𝔻ℝ 𝕊𝕋𝔸𝕌ℕℂℍ Ⓜ️ ⚡,0x48BBbB8989bCA0C9655Fbd716AC511a1F03E9d5F,0.00,0,0,0.00
soh_linus,Linus Soh,0xbb0Be7511d0D39be830202439183fF02C6E6f1dF,0.00,0,0,0.00
0xcuongdo1203,0xcuongdo,0xd48E13DE39d4CB4F70a83ACfB3866fBC8b9B947c,0.00,0,0,0.00
kumar58429,Knox.eth🍌,0xAF83a69b531e52D184fEAE7D3F3cA3697dCfF592,0.00,0,0,0.00
maquita_smith,maquita_smith,0xe332b08a52065BfCD74a2724808E91E82837176c,0.00,0,0,0.00
CARTOONIST_MC1,Ēl ChĀPø,0xcE2f6E6a221f44a1C42636769Cde1146dE50D64B,0.00,0,0,0.00
MattFootBatten,MattFootBatten,0xb1ba2D47f4cc10A6f3eA54910205C4D4b1e3a188,0.00,0,0,0.00
0xrupiah2020,Monkey D. Rupiah 🤖ボッ 🐬TermMax,0xB72Baf8959052Fa2386F27584c7a1F708709f885,0.00,0,0,0.00
xxgsunny,xxgsunny,0x5aA1Dfe6cFa1C2e1c21B26F0C16DF6c94178FdD3,0.00,0,0,0.00
juior2012,CryptoJuñior,0x9e7486e6e393ebBd68F73Bf1D74A901d1553AC3C,0.00,0,0,0.00
Ahmazingammah,Iwuchukwu Grace Amarachukwu,0x561d7dc6dc66d4d2e3fe33d138f7de10ca01cef7,0.00,0,0,0.00
shakibmunsi0,SHAKIB,0x442bE7DFd31a9C71D1b3d3cB3cE1A4Cf3dBeDa85,0.00,0,0,0.00
cmkamii,KaMii,0x0E880cA87895132880c1FfC97B331F341dA01051,0.00,0,0,0.00
bencrptovnn,Ben,0x2d8E97569C42d3A387E948a6A8bCd6474B47E39b,0.00,0,0,0.00
waahid99,Nishat ⚡,0x67083214f9AA0E7b6Acf9003F417ab5b8b9a0B3c,0.00,0,0,0.00
spike_coinz01,Spike,0x91Db80087bB3bEBc0F3AD66A882b79eAEAd721a4,0.00,0,0,0.00
0xphonenix77,Phoenix,0x81c15f3E294878B66B0dBc446b0333A37D80Ce5F,0.00,0,0,0.00
jokeriblack,Joker 🐳,0xc6db3110e8d0290200371de6548a3174f5701d47,0.00,0,0,0.00
Haunteeed,Haunteeed,0x2bBe0FD0039989cc3a3F00DF42AEc12942ad6F18,0.00,0,0,0.00
lifesty93141824,Crypto_lifestyle,0x27232e2719988467e9d8b415b084fb40f5b816b5,0.00,0,0,0.00
absrd,Dustin sliva,0x65ebb828d52035b71caBb50835D440715d857213,0.00,0,0,0.00
shoaib7929276,SHOAIB UDDIN | 𝔽rAI,0x8c7Aa2c6c00B33ad9C7B412b53b49603326A727c,0.00,0,0,0.00
Cryptonews678,Base.eth,0x3aC5974fD4866700ba013D4e1159Bf7E3D6d6256,0.00,0,0,0.00
azmancan0,ibrahim sariç,0x8C1e65F50710354E2735D497110c459C9e935d5E,0.00,0,0,0.00
luis_usaa,Luis,0x1a04d1f97F7CF151Cc76bb3d51d2dffaf29dcc4B,0.00,0,0,0.00
tkcyfc,Nomaden,0x2899b1d9a696ae5317f7988384abe88393f5a2a5,0.00,0,0,0.00
12_cubeee,Ethan Nguyễn,0x2c61552c877c92585d22070179a9b2cb959e55ac,0.00,0,0,0.00
sajib1006,SAJIB,0xEa4Acb9c4C8F068EAF38e9EFb658F04650318dAF,0.00,0,0,0.00
Wilsonpablo108,Wilson,0x87b636ad699636617dd7b69dd0973e46d4ef6103,0.00,0,0,0.00
tonoyhasaneth,TonoyETH,0xbd0c9B47A8617f183B839E53B667be5465fe854a,0.00,0,0,0.00
Trey_Stuntin,Trey_Stuntin,0x796cfa8f702Ec2Da3aBCA0fbF09b127f2DEBA089,0.00,0,0,0.00
SYNEX98_36,SYNEX,0x11e6f1205160b970feb003161f18edffc58fBb73,0.00,0,0,0.00
whiteorsoncz,White Orson,0x01527b5068924917dfe4dbac8a77f1683a6fae23,0.00,0,0,0.00
Ahmazingammahh,Grace Iwuchukwu,0x561d7dc6dc66d4d2e3fe33d138f7de10ca01cef7,0.00,0,0,0.00
wucktuu,Babe !!,0x09b44e1722d6b9CBe020fC045e463b1bAf3d6e6D,0.00,0,0,0.00
SasmitaArisya,Sasmita,0x32404BB1C95B1992b5F5152f9f0e252d29B156F0,0.00,0,0,0.00
0xxcoded,CODED,0xcb1862d265c726b57592f795a4c20cbfbc892899,0.00,0,0,0.00
coinmaster100x,Master,0xbF5477d67b43D9B97B31A5636B5De60f507DBd47,0.00,0,0,0.00
Wiskidom01,Wiskidom💎💼,0xd2574C7A9947ACd3Ae31FF4EeCbF245182782790,0.00,0,0,0.00
earning_sectors,Attiq ur Rehman,0xb1462d298Eda16C7EE5D796c60e8De2c4d6f64ba,0.00,0,0,0.00
jonathanmercada,jonathanmercada,0x0F7Df970F5A8c1c220930e035a5Be00CE3F3eC9f,0.00,0,0,0.00
emiola_gangan,EMIOLA𓃵,0xf21a5a08504a7dc622f718dcf74f5b8f8fe3fb46,0.00,0,0,0.00
rmvai649,mahadihasan,0x8E0eCa460Cf2940B69cc6984E75c6Bdafc55323D,0.00,0,0,0.00
Andy_Wangsu,Andy_Wangsu,0xe2a3576FFe0062c1aCeeB6a0dfc9fe00A701860E,0.00,0,0,0.00
Knkchn0,Knkchn,0x169a051bdf029601e8bc34d50e4f1e25fdb0d5fe,0.00,0,0,0.00
petraxxl,petraxxl,0x626F01d335De5dB11BE27CB04C9e66ac4F49bacb,0.00,0,0,0.00
Cikkss108,6iks,0x9EA429C0EB345A5b73a2ea696fb8B819E57D2fdd,-5.24,7,8185,-0.09
