
> mma-robot-landing@0.0.0 epoch2:dump
> node scripts/dump-epoch2-leaderboard.cjs

rank,username,wallet,postCount,score,srEligible,status
248,@Miizan,0xcd7fd3e0e6BbaF586439444284d8F228fA426B0D,1,4.75,false,Not eligible
249,@Rdx | π,0x757e602000f34fc2099d5af2bba1bd2e5bf49f25,3,4.75,false,Not eligible
250,@Maza,0x8779a475bd06f46c88ec10768e540c4f719c9d87,2,4.75,false,Not eligible
251,@pogo,0x667Af77577F86C86252EC7e6C7Bc400E8494A8e1,1,4.75,false,Not eligible
252,@Wilson,0xfe1D07F523ED7A45417Ec38bD78515828956c8AE,1,4.75,false,Not eligible
253,@D3rek,0xb4722f075317f877e7f595131a4c9bbf3ec3800a,7,4.59,false,Not eligible
254,@Chakdl,0x6FC4a111e62c0a10f0246be5424E83c72938FE06,3,4.59,false,Not eligible
255,@milinerose,0x668eb55cff1C157Dcb36F3C34c35665f03eA465c,3,4.55,false,Not eligible
256,@minako,0xC1d37688867118246A3C80Ad7705F1c69AE1f6d9,9,4.52,false,Not eligible
257,@Ameen,0x44b6De46CDfA8A2c16c1bd2D13DF8f07D0835c64,6,4.50,false,Not eligible
258,@APU,0xd3A8a80267Cd70a45def5054D0c10EbE87F3A1a0,1,4.50,false,Not eligible
259,@Dreams Growth🍌,0x08725ab091B016470f5dE76677ac4Bd81beE5022,1,4.50,false,Not eligible
260,@OxMax 🌊,0x989CA9262d96B467DC8B03042F37A81A3b0368d1,1,4.50,false,Not eligible
261,@AMINU,0xcb172bf110940d6c8ebd32b4a41d1101495690f5,2,4.50,false,Not eligible
262,@nzt,0xce48E68904B2EDD163384b3D4c8c2B22DDa05671,3,4.50,false,Not eligible
263,@Ridaatul Islam,0x27Ac609C4B4A2574a94F9d68ecA429CFA8738E6a,1,4.50,false,Not eligible
264,@QUEEN ( MONALISA ),0x64d9D1b040FbbEb8119B779D4F4B91531A0Fe903,1,4.50,false,Not eligible
265,@NGO DUY DINH,0x1199c5df13deecdc03433df7dde890fbee56fc1e,1,4.50,false,Not eligible
266,@chaeri,0x76F160F89a15920bE51dC66Aa957f490146F744d,2,4.49,false,Not eligible
267,@samest,0x0A98FfB8E9702E093AfBefD50A228E6B4b8A1a80,5,4.49,false,Not eligible
268,@MÅÑÔ,0x43d459dd6a4e50206cd3FAd65D592E73781ac3fd,2,4.40,false,Not eligible
269,@SAYED DOHA,0x7A4D7538e48F775678337597826D225ed3134Bd0,1,4.25,false,Not eligible
270,@Richie 🎮🤙,0x25a58F5033C901e535bfE23Ed89C68b8E87738c5,1,4.25,false,Not eligible
271,@蓝｜目标A9📈,0xa2b9091f1a71c4e2d78214f772e9801be5c52ec3,1,4.25,false,Not eligible
272,@Franklinn,0x9EE7d46c895697cfDAA3863FEF9fbD942Bb9ee95,1,4.25,false,Not eligible
273,@Kaganboss,0xD6846Eca71f7f57defEe8301142dcfb006E71140,1,4.25,false,Not eligible
274,@Vala6,0x4898B1481cA18FD98ABA2b5Eb86B12eF6633c03D,1,4.25,false,Not eligible
275,@Mohit Farazy | π² ☂️,0x9a185e76e57f472382c30f89a961fb22f9d9ee41,1,4.25,false,Not eligible
276,@path9photos,0xa06165FC508E7df5043dCA84ce7070F351eF8676,1,4.25,false,Not eligible
277,@Fasah,0xBD4Cc603cED7057fE1025A6101879cAA61ddb43B,1,4.18,false,Not eligible
278,@Nguyen Hong Thinh,0xBf8aC28a677db23Aba7144F1357b71D7881f6E53,2,4.15,false,Not eligible
279,@🔅IBNU ABDULHAKEEM 📿☪️ 📊,0xbe65fa54eb13e60a42c29ed96ceceeecd31d56dd,1,4.00,false,Not eligible
280,@EMİN,0x8b585A97ac32045A6C675462339928abF6f1d8f8,1,4.00,false,Not eligible
281,@PᐃVEL.eth🍌,0xC57336E882575Ae8d97ab6d73c4c02f82B449252,1,4.00,false,Not eligible
282,@Nobita | MeKongLabs,0x77ED5b57A08436C218eCCe26fa9DEf66E149e0F4,2,4.00,false,Not eligible
283,@Nguyen Huu Phuc,0xE44D72598D16132214D38ad499880AA1cdA05372,2,4.00,false,Not eligible
284,@Aloved,0x2da82580d6a07a3375aac232ace6b9698ee8d4af,1,4.00,false,Not eligible
285,@Grace,0x3d3903152c3d5fbb4e1a8d2474e7fc4779ef00fc,1,4.00,false,Not eligible
286,@16,0x93BBD282f808fd5dF7a9b5Ba23a7B64591D75e0F,1,4.00,false,Not eligible
287,@Miyulux,0x128B4D9A062d137710F362d2b5c0B81E2726cC40,1,4.00,false,Not eligible
288,@kerem,0xb7B36D147A85949F3bb96a8ef348fB420209bd40,3,4.00,false,Not eligible
289,@mirza,0x849c5E5e8851c8409c6fFc54e26CaD303b236921,3,4.00,false,Not eligible
290,@Sakyra Airoko,0xc0a26b567430e1b4708a26677c07b04e94e37a8c,1,4.00,false,Not eligible
291,@不耐烦,0xdd1d28ad03140878b243db448d6bb97a7c4f5198,1,4.00,false,Not eligible
292,@三炮投研（Alpha版）,0x9dcb761509c3e37b87619662bf666a4f0999c95f,1,4.00,false,Not eligible
293,@loni taft,0xb96cbccd63d9e6f38c1c051a7e3d9bd63589d405,2,4.00,false,Not eligible
294,@abri,0x6c64263Db81687f843B6Ab4A37977F8b940dFbb5,1,3.50,false,Not eligible
295,@Area21Spa,0x334B6C8C6CDa8A60B1F0619b8C1fc82dBEad81c0,1,3.50,false,Not eligible
296,@Crypto大山,0x09d5f220e7f81f54dcf1c9b62c0491be7e8d91bd,1,3.50,false,Not eligible
297,@Crypto Freedom,0x4830aca0ca5056a706203eed94f6a55565e06b3c,1,3.50,false,Not eligible
298,@Dark-德古拉,0x7558de7293d1d3f4963f0d2e79b4e6a60c9a58f8,1,3.50,false,Not eligible
299,@Gaming All in,0xb5f77a066d421c3fab48dfc9ddd2f030bf334147,1,3.50,false,Not eligible
300,@MM,0x9ed35b26d3ee2da7dfa195e095b366461e9dc775,1,3.50,false,Not eligible
301,@İskender Kabul,0x3a5d74045A04f46C0FdAa9776FbFD317FFa7Ea68,1,3.50,false,Not eligible
302,@坐等机会的老韭菜.E,0x91f2f26edcb50e934091a880667fe33f6d715532,1,3.50,false,Not eligible
303,@jaydeexbt,0x36b661f0820e72bf8be96568d52a72f3ebb673f6,3,3.50,false,Not eligible
304,@Sevgi.Eth ADD+,0x555Eb90bA0Fd7379eDcc5692F1a3A1c4D3155d8A,1,3.50,false,Not eligible
305,@Jason,0x7046863ae4e11bf32d60b52c8bc23dd0cf31ecbf,1,3.50,false,Not eligible
306,@Vibers😇,0xd229E2eAe32F218311Dd93693217FF6dd5B87bF4,1,3.25,false,Not eligible
307,@SSWeb3_,0x4acceb9637f1915633610dd0edaac7acf32f012e,2,3.25,false,Not eligible
308,@ilker,0x1dB5E2D74313f7643955054d2518BEC663Bc9738,1,3.25,false,Not eligible
309,@Aleleeh,0x81c75e7249de85a36ff1103f048dcef162414188,1,3.25,false,Not eligible
310,@oAth,0xfbf6cb4fa1dd2e457b96aec9907857948246810b,1,3.25,false,Not eligible
311,@immortal,0x01007670bd0304cb26603e5c71ce469dc2bbce77,1,3.25,false,Not eligible
312,@Ling🐬TermMax,0x98b1452Ad6EBDf3019F7DaDD5BF93d4D147Eb7B6,5,3.21,false,Not eligible
313,@Nguyễn Hồng Nhung,0xfcd3f83648aff5abff318afff00f4e2b4ffda7c5,5,2.86,false,Not eligible
314,@jin li,0xabe2cccdafed6cec19e47a3794eeb487e646bc0f,1,2.75,false,Not eligible
315,@9955995king,0xe5055bcd239f51e2d09d318bF32A11Ff3a6c2beb,1,2.25,false,Not eligible
316,@ApeAURA,0x9F5623E6bA9aAd8d9ca16377CBF5cCEB36C9fF27,1,2.25,false,Not eligible
317,@Crypto梭哈,0x02f6dd084188c2c238e5e50bd75667da0b4bc31d,1,2.25,false,Not eligible
318,@Phoenix Ranger 🦾,0x76dab6bce9bbdba28d562703abdcac2774c9f2dc,1,2.25,false,Not eligible
319,@Funboys_78,0x1aba551d336ecc4e4e9957745a239c555977833b,1,2.25,false,Not eligible
320,@Coke,0x650Ff11EC206A42Af72b9D29623A9BF5f927D7be,1,2.25,false,Not eligible
321,@A Ghost,0x000e07f64faf882efb6de762e92caafd021056ac,1,2.25,false,Not eligible
322,@Lucky02568,0x83d9095d0ae5af34df56c073f78b17da20781a2c,1,2.25,false,Not eligible
323,@𝗦𝗔𝗚𝗢𝗥 𝗖𝗔𝗣𝗜𝗧𝗔𝗟,0xD39285d3878d621320d4a603cC230161dd33ed98,2,2.25,false,Not eligible
324,@Marufhassan76,0x8460Af0eba04aC9d6F74290e6cb54344f97977Ee,1,2.25,false,Not eligible
325,@Nguyen Nam,0xb31fa6f0029377820c5c01216da717244b61a957,1,2.25,false,Not eligible
326,@NudistmaleZ,0x0b0ed1f17c0d00dbd80e4cda37f50d22fd8e3212,1,2.25,false,Not eligible
327,@OnlyPulo,0xe71429c68b2a0c55c56f8316f9ba2cb78419ac77,1,2.25,false,Not eligible
328,@OxxAkash,0xB650e795fbBbe90E7fC5aefBFfC518F1B973445f,1,2.25,false,Not eligible
329,@Pluto_Crrypt1,0xd8747642cec99a9fd2f834e0008c48828c5b8a4c,1,2.25,false,Not eligible
330,@PumpVaultBase,0x9749eed9fe2027697c755d906c1ae70af44e9a92,1,2.25,false,Not eligible
331,@XiaoZhi_BTC,0x39b217114b4b8b4d4f5c66044d3fb89483d58202,1,2.25,false,Not eligible
332,@张行程,0xBe185faFf8a5447127C041037092b488d9c3fc38,1,2.25,false,Not eligible
333,@_cjsy_eth_,0xb60691cd7fe2aaebac98b2bab3a3c0665d14918a,1,2.25,false,Not eligible
334,@Alpha.等风,0xfcb36187bcafab981ee787b5b08a845e961008cf,1,2.25,false,Not eligible
335,@brightness96,0x8409cb7eded7807e8440c0c267a6acdfa164bb4e,1,2.25,false,Not eligible
336,@ddcat80,0xe9ca28d97aa7c2739bb2f7d7c89a500e44caeff0,1,2.25,false,Not eligible
337,@Dr Pengu,0x35be0738c74cfa88720b26b6d6c74ff373b767b1,1,2.25,false,Not eligible
338,@hien_xxxx,0xba647f9fe1909c758015da067941b738478ef0a6,1,2.25,false,Not eligible
339,@i_m_m_,0x562982024F31889fc025f718eD565887aB5a99dC,1,2.25,false,Not eligible
340,@ᑭᖇᗩY乙,0x1d7Af3d1de21354BBFFE7d22761AeDDCBE71D216,2,2.25,false,Not eligible
341,@publicitsx,0x3d804a2091e631ba2662c7f64a7e82ce21f6daa6,1,2.25,false,Not eligible
342,@qingshanbing,0x86bc57ee241565c0da6dc6e0efed9b26ce10c470,1,2.25,false,Not eligible
343,@t0xic🦠,0x8E0eCa460Cf2940B69cc6984E75c6Bdafc55323D,1,2.25,false,Not eligible
344,@sugardad076,0x28bab1b2d9e51b1a90b22fd4c346db6b8dc44cb2,1,2.25,false,Not eligible
345,@无双-明灯（🐬 TermMax）,0x0579704631f4042da4ed7eb5d5b808bcb15143d1,1,2.25,false,Not eligible
346,@| Arion |,0x8445a688e7bfa2a159af2f1f5f619920e4afa689,3,0.58,false,Not eligible
347,@adeee🧡,0x2fbc28158512fe2d3b1679396f2cd56a6b62abab,4,0.25,false,Not eligible
