rank,username,name,avatar,wallet,posts,score,avg
69,Ginny26869024,Ginnystar ✨,https://images.asksurf.ai/_LT6GRRYdQTHDxvLEOMj_SKTOdUTzXchV2JorwpB-e4/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NjY5NTkyMTMxMDk3NTU5MDQvQUk2SzdFOGUuanBn,0x14FA3Be363bb8EB71B87EcE99Df78486daBbfB67,6,29.75,4.96
70,Johnny8_X,Johnny,https://images.asksurf.ai/dBJaDiv8set1HFmGbiUMPSyvFPEr-DJvSessZ1SJewg/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDExMzE3NzQ2MjIwMTU0ODgvbFZ5TVFPNUYuanBn,0x5283Cbd0D32cB527338FaA5f514178D08DB0e8Bf,6,29.00,4.83
71,Shawnn_moon,shawn.ip 🌕,https://images.asksurf.ai/lceprsiTIWMggg180izUpvT1hxGAXhIHXXRMzpdcF4k/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzMxMDk2MjUyNjA4ODM5NjgvODN4M3NYdmhfbm9ybWFsLmpwZw,0x16356f0dc7f6c8423e5daa899cfde7162f58159f,7,29.00,4.14
72,0xRiRoyal,riRoyal.Base.eth,https://images.asksurf.ai/1Sx-z0w0CNs82GsNF9DiRumKJJwMEUEo8-z0gj08NtQ/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMTM0ODI4NDcwNTU2MDU3NjAvTlVHVUVYWlpfbm9ybWFsLmpwZw,0x037CE8F01B71942E0dd12E81ebeA73dCD4e1afb7,5,28.75,5.75
73,tienho_nyx,Nyx,https://images.asksurf.ai/2UHErEDAio1nDlZbByJD13E9WknqeS5pUMGZlrLjSx4/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMjQ5MDgzODY0ODAwNzg4NDgvdGdrMjJIZVNfbm9ybWFsLmpwZw,0x5e6e06c673e199062a4779aa0dd47df445c88e41,6,28.67,4.78
74,Timothyayodeji8,Timothy,https://images.asksurf.ai/Z_1MsLn_jUNyt-UAmmTxB63fqaBwndb5OCVwH9urBKs/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NjI5MDM5NTI4MDgxNjk0NzIvTzBjak5QWUhfbm9ybWFsLmpwZw,0x51a0451a55258e901253b0e7747ba7656987396b,6,28.25,4.71
75,tidydls,TidʏĐ,https://images.asksurf.ai/s1PtqMBN2VhtyUOU4iZFksLTQKNYLQg1-8oFQWw10AE/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NjE4Mjk2OTM1NzUwOTgzNjkvYnl2eFpFNUwuanBn,0xee81995c3b0384dce542e99973594b07c8096c80,6,28.25,4.71
76,bencryptovnn,Ben Crypto,https://images.asksurf.ai/gQUrXxub1AayClYsCH3q8fYF7OYAt7SbPmscAZcxz-I/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NjQzNTkxODE2MDUxNDY2MjUvRExMNGwtYjUuanBn,0x2d8E97569C42d3A387E948a6A8bCd6474B47E39b,6,27.50,4.58
77,KaylashowDq,Kayla,https://images.asksurf.ai/s3F4zoFroOWwnw6IaftUevxcV1ol7zR2xkL2Z_COpQM/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDc2OTQxNDAwMDAwODgwNjQvdko3Q1JpcnVfbm9ybWFsLmpwZw,0x9574ba2c8a3cacca41959765d2d05eb431001bf8,4,27.25,6.81
78,ArewaGadgetPlug,Arewa-G ✳️,https://images.asksurf.ai/VQLFg5A0PFsjJz1FtHUtLLH10uWFRVGpYThVy2iJ9gM/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDkyNDEyNzg5NTc5MjQzNTIvandiV3lRMVguanBn,0xaa0e1058C881F9fC9b5f9FC2724ca12E3e72992E,8,27.00,3.38
79,ApexIkaru,IKARU,https://images.asksurf.ai/v1lIXfBx_yd8w8NSFk4_ULpns1fEzfA_ErFJFgBuMSU/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMjQ0MDk5Nzk1MzMyNzUxMzcvYVhlSHpNSjguanBn,0x5332e6431cb4b1e056104d4cf23ad74c183c83f4,7,26.43,3.78
80,BabuAlx86,CryptoBabuETH,https://images.asksurf.ai/6uBrKYtoXwDNpcCDvqHbIPidHFToAO0cTbVz9gEDKRw/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NTc3NzE0OTI5Mjc5NjMxMzYvRjFNSHdPWHQuanBn,0xef084f79208db9d282df5470640de93196dc52de,6,26.00,4.33
81,jokeriblack,Joker 🐳,https://images.asksurf.ai/gXnafcgjUZGVZY7afL-mS2EjKt4YbOfcRUQmMAbB8Ew/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDMxMjA5OTkxNjUwMzA0MDAvUnlPUEwwQmEuanBn,0xc6db3110e8d0290200371de6548a3174f5701d47,9,26.00,2.89
82,Jife790,JIFE,https://images.asksurf.ai/67PI00k-Zo2eexZnnEywa44OuRJN8UPWJhnTvunc0eg/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzgyNzYyMTE3MjY1OTgxNDYvQTNMQVM4UC0uanBn,0x62d0d685fe4c214658bdea5ca9a7b88a5bcccc49,5,25.50,5.10
83,wa_pc34178,Nafiz,https://images.asksurf.ai/cfOXPRbW5YsgGunjKZKHVTZqbUdTTJH17oHhw3k14bM/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NjY5NTg1NDcxNzIwMzY2MDgvVkxPVEYwcWpfbm9ybWFsLmpwZw,0x110FbCcd7160DF580211A0c514deDf119086C75A,5,25.50,5.10
84,HabibPaart44952,Paarthaa Habib,https://images.asksurf.ai/c2A1RQfzvf0_SHUrrgcRK0WUhXfSgGXgz3H3dfdoguQ/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5MDU5NTQ0NTUxMDkxODE0NDAvRzBYN21QSFguanBn,0x2C9BC71E4E96a65EDd741B59419997A2657B1b25,3,25.25,8.42
85,Anh_Mot0,Anh Mô Tô,https://images.asksurf.ai/Kym3g8UhboGqp4CVibjdhN4klMJqA1LMV3TvBAXoIdQ/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzM0MzU5NTc5OTU5NDU5ODQvcmR3ZkFFdm1fbm9ybWFsLmpwZw,0xc8FAD07aa89174dE09dE18b6ddC79968204382c6,4,24.75,6.19
86,sholaax_,Sholaax ❤️🦾,https://images.asksurf.ai/LpM0wkTXAvtb5j22araz81Fo-oXv9yIIsyiYYZ5XuJM/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMjQ2OTk4Nzk4MzkxOTkyMzIvQnhxYkxWNDQuanBn,0xfbd5011f9d35433aecd40e1f474b424de4674842,5,24.75,4.95
87,stuyzy27,stuyzy kenz,https://images.asksurf.ai/HI7rARF0T3F3R2hFObHKxLha8MaSaNbbTeeDXHsKakk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzY0MzEwMTAzMjY1MTk4MTIvM1JidTQ0Wkdfbm9ybWFsLmpwZw,0xa76823d55a93378f5b08bb5e2725a49c6688cad8,5,24.73,4.95
88,Web3Sam10,SAM ⛩️ ( Nasun Arc ),https://images.asksurf.ai/FX9NOhpN4oHVUu_7VvLKytSfgHvbDn9f3gki7TX28E8/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5Nzc5NDE5NjU4MjkyNDY5NzYvUS0wTVB4OGpfbm9ybWFsLmpwZw,0x8dedce1aff9385ef6f825eec381e13bd422c6be9,3,24.60,8.20
89,spike_coinz01,Spike,https://images.asksurf.ai/fSdJnOlqjeAOot6CqycC4pWEJJmECk1yymjCySeNPpo/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzU3MjczNzYxMjMwODQ4MDAveTg0Wk0zSjguanBn,0x91Db80087bB3bEBc0F3AD66A882b79eAEAd721a4,5,24.50,4.90
90,buttlaibyy,Bella🌸,https://images.asksurf.ai/_FqTzdFFjtkHLoHZDCyBeX1RXa5qHw6dZtChhRwNSLM/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMTc5MTg5NjcwNzIwMzQ4MTYvX3FRU202QjguanBn,0x67a7151aF9Fe801f2ec298328F0c2b9516ae0834,8,24.00,3.00
91,mandero128992,普特拉 🫎ASEAN LABS,https://images.asksurf.ai/XannktsFus353nEZpQDfI-gUJ1sBQZtauSCXp2xn_Ck/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDYyNDk2OTE3MDk2ODE2NjQvcGxadm5hdUMuanBn,0xC1311e508d9037B0b6bD4cd032Fbde20beBb8c76,5,24.00,4.80
92,0_manager3,Tèo Manager 💚,https://images.asksurf.ai/-08Y5u94MP6gRZYj65Ak8tTqdSSy0fnuTvBtAliIpl8/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE2NTAwMDEzNDY0MDQ0NDYyMTQvNTRqcXZ5X04uanBn,0x861ccf00bf95c42ace8bda81ba021de90d315d45,7,23.81,3.40
93,SARAwebh3,SARA,https://images.asksurf.ai/HqHoF5aZetJyiqX3U6f2j5ZCOFFTh4HE-C4CfHbIHqg/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDYzNzYwNDMzMjY4OTgxNzYvYjladGJhUjMuanBn,0x18D4d74e22D6c902d246b1cdE992300c07D37cE5,5,23.75,4.75
94,King_dav000,King Dav💪,https://images.asksurf.ai/LOcenGxQKwiLht9VWWc3AtwBavVA4gMlusCp5_JIy9A/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE4NzU1NTkxOTg4MzYwMjczOTIvU0RYYTByZWsuanBn,0x945d68012B88644433156dC99f81383e0F625799,5,22.50,4.50
95,StharDus,StharDus,https://images.asksurf.ai/_i9noIdoYNI2Qkkrmng03HpCuvLsVptdpB87wM3UQuI/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMjY1OTMwNTExNDYxMDg5MjgvUkl2algtWkdfbm9ybWFsLmpwZw,0xA397D5304b5B2AAA7121c26341A0c636af080064,5,22.39,4.48
96,blurnova,Blur Nova,https://pbs.twimg.com/profile_images/1643438611273236480/FXkowgWu_400x400.jpg,0x1E9DC05981270A7b3aDbA2c6935f9Ce4c83693b6,4,22.00,5.50
97,kairoflux5,Kairo Flux,https://api.dicebear.com/7.x/identicon/svg?seed=kairoflux5,0x84D5ab523c8FdDB4559eC5e29CE2Ab7c4049400f,4,21.80,5.45
98,kikycute1402,Kiky || ETHDenver,https://images.asksurf.ai/miAfYLFpgckwMoR4V-dhg0RMtYosrsHLgJwSlBfpjWk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMjU2NTgyMTQyOTgzOTQ2MjUvU3pwUHowM2guanBn,0xbb1e0b5e7d170cd424d0a53725017c32113748a8,5,21.50,4.30
99,mintshadeking,Mint Shade,https://pbs.twimg.com/profile_images/1996407479069184001/EvSO86W3_400x400.jpg,0x2c4e42A7eDaabaE0a5987bCD49e58F743c5549cA,6,21.50,3.58
100,orbitaly,Orbit Aly,https://pbs.twimg.com/profile_images/1682127970251718656/9j1n6iKy_400x400.jpg,0x21CcB7CA663ADcafB0bf720D726E0CBE63084d9c,4,21.50,5.38
101,0xFatih,Fatih,https://images.asksurf.ai/cSw38-i1_IJP8a_f1dMhBlOGWHPIJthkriLh_vX38Qw/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5ODIyMDAyMTM2OTIzODMyMzIvQUJzSjlSQmVfbm9ybWFsLmpwZw,0x2f6e4df72fc4c8defc63fbeab367348da0a4fbdf,7,21.47,3.07
102,chaselightt,chase,https://images.asksurf.ai/U-E2CUUGmU3pPXY7KltCoVs1OO7O1ggQ0sMp1Im7mrM/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NDIwOTA2MTA5NzE2OTcxNTIvZS1jWHczek0uanBn,0x88Df9f66ef65c3C1231f981c85f7B946Bf6d99EC,3,21.00,7.00
103,TNr1ck,T N,https://images.asksurf.ai/POJuF20R68FPxdr4a3O71mXNV8jHZNHgsboOpWGB67Y/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzkyMTQ1NDg5NzMyNDQ0MTYvcVp4VFpRemIuanBn,0x88Df9f66ef65c3C1231f981c85f7B946Bf6d99EC,4,20.00,5.00
104,rare_bd,Rare,https://images.asksurf.ai/Fa02eMep0slIUibo0UNMa_-Szx65ngU4rQPugQMcDRM/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzQ0MzIwODU3MDQ5OTg5MTIvUm1pR3RVMEFfbm9ybWFsLmpwZw,0x271c72589f10D8eA866eDB97b9db09ab12ab9721,6,19.94,3.32
105,0xxcoded,CODED,https://images.asksurf.ai/wo5G7sa4aUfNx7_DRj5YLzt645cff3VJvmYnx7B3x7M/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDQ2NTgwNjU4MTU4NTEwMDgvak5rOGJwem9fbm9ybWFsLmpwZw,0xcb1862d265c726b57592f795a4c20cbfbc892899,4,19.75,4.94
106,Mzsandy18,deFiprinces,https://images.asksurf.ai/c5AI5dePzcx4HyLdqx_TImflxn2-1jUu8sVCpsqnelY/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE3OTk3NDY2MDMzNjE2NDQ1NDQvcG1Gemt1Rm8uanBn,0x56c4924FDA0a46490f2135Ca259e7Bf1aFfE9B52,4,19.50,4.88
107,rosetina_degen,Rosetina Degen 🎩🎒,https://images.asksurf.ai/Th9Gvq2AJfZvJk68zJHWdrk5y1O8IzVcAEiwN7lXbMc/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE4MzIwNjM3Nzk3NDE1NjkwMjQvRUVPUFM0R0Ffbm9ybWFsLmpwZw,0x53bB62BFBa912847D0B8d3eff55542bAE991bb0D,2,19.25,9.63
108,psypth,tyr 🐺,https://images.asksurf.ai/7iq4_hlKVqVThWo1oM4WTPBOSjZpK6FFjfTnN9lx2S0/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMTAzNTYwNjc3OTcyNTgyNDAvM0VEbFNuNWlfbm9ybWFsLmpwZw,0xd9926e2232b49bab2e1543613d286622411accaa,2,19.04,9.52
109,hitasyurek,hitas.base.eth,https://images.asksurf.ai/F_E75RCtqch_vC1DXvZgl3YNq_eTbisqgK5XawQjeqU/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NjgyMTYyOTkzNDA3NDY3NTIvMjlPVTVsb2lfbm9ybWFsLmpwZw,0x4830764Cb1252Fc7553231E2FBF5b09961a29c59,3,18.93,6.31
110,Dzola17,Dzola,https://images.asksurf.ai/vaKRITpLlD4OUeOnnl1gWXcFFXqvxnUPlJh8BCm_hOw/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDE0NjQ5MDUwNzQwODU4ODgvb0VVV1lOUXdfbm9ybWFsLmpwZw,0xC6776bBa507Ed718C9D7AeE70b0eA1B1C26ec8Af,2,18.75,9.38
111,SpilsA,SpilsA,https://images.asksurf.ai/Q-cjpY8LO-_Jqrv23DcSKevWw1vaAVly-J03RtBzVEE/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDIwMjExMDY5NDU1OTc0NDAvcXlQS0FYdm5fbm9ybWFsLmpwZw,0xC967255394fa6BD630F8405bD69b51d70Ad73F01,4,18.72,4.68
112,Wozbekk,Wozbekk,https://images.asksurf.ai/gcWxWXxJTmD1q83uTshkRPv0d2eucPpqgIiDA7bicpk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDIwMjIzNjgxMTgyMzUxMzYvVlVQYVV4SWNfbm9ybWFsLmpwZw,0x19221Aa28cc6269293bC6A3bae4001C93CE38cBf,5,18.72,3.74
113,hbo_data,HBO,https://images.asksurf.ai/c-4RbjuFNwTpvL4qDv4L6l8kBbtqxoGAsn1aLTqSlrg/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDMwNzIwNjI1NTA2MDk5MjAvQzRPS09TWHVfbm9ybWFsLmpwZw,0x1A062aA6EFD4Be430B71Fa1436d72ec24bB381AB,6,18.43,3.07
114,Bilivo8,Em Bi grvt🍏,https://images.asksurf.ai/isZRAtsBa25jLhv04S95n7nQf7fzkk5NOf-Duv4Gtuw/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5Njg4OTE0NzY2MDUyODg0NDkvRkRxMlB6enQuanBn,0x9202744fc4f6ae71272f6204c707e1bfd3694fae,4,18.25,4.56
115,kappybruh,David,https://images.asksurf.ai/jeueRXS-vczOL7rG2n56CQJe-LWnYPhhUxcOKCWUb24/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE4NTY5MDU4MDcxNzIxNzc5MjUvMGhVTTVCbk1fbm9ybWFsLmpwZw,0x863e3ca52239be57ff34209f26f416f4a083de3d,3,18.25,6.08
116,Eloghinova,ValeriiVSL | 𝔽rAI,https://images.asksurf.ai/rqG5H438mTqZcNVyL6InDSjL4S4RS77UQGNI9j-I1Mc/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzUzOTQ1MjIzODE2OTcwMjQveGtSYjF6a3Zfbm9ybWFsLmpwZw,0x71004760Eb3F6Fb351358aBD8cfe7B481F5e086A,3,18.20,6.07
117,only_one_oscar1,Oscar,,0x5F41297c6c24B5C549E2f673c1e4038bf0cf76f9,2,18.00,9.00
118,Cikkss108,6iks,https://images.asksurf.ai/nOQb8b7TvYar8mFKrRmrmQ_DWRd0NuLbzj6IFks2RyU/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMjc5ODE4Njg4NzY5MTQ2ODgvZmJlSjEzc3hfbm9ybWFsLmpwZw,0x9EA429C0EB345A5b73a2ea696fb8B819E57D2fdd,11,17.86,1.62
119,rebeccacoupland,rebeccacoupland,https://images.asksurf.ai/gBQitRXlWZH8Mw7H4DoMKHeawi0DzQeAt3eitNdcF1w/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDIwMjExMDIzNjk1ODcyMDEvUUwtYTczSk5fbm9ybWFsLmpwZw,0x9c6b6EE9f10e2a63d94974b7A37Df0F1D7457B16,4,17.85,4.46
120,sol_ayfr_,ayıfero,https://images.asksurf.ai/l6uEA1vjjJOVTwbJnkdDQCjzXK1P8DGSlMX6jxOFf80/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5MjA5ODI2MDc5NTQ1OTk5MzYvNGF5V2ktQTlfbm9ybWFsLmpwZw,0xABE08B81Dd3D7d67d8Aa753CE37195D02aB4383D,4,17.85,4.46
121,SYNEX98_36,SYNEX,https://images.asksurf.ai/87B4t4w4mam6ejFr4vTdccBVAe2-sPzYe-ArFIhXGhU/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMTY0OTk2NjYzMTQyNTYzODQvanBIbGZnMGdfbm9ybWFsLmpwZw,0x11e6f1205160b970feb003161f18edffc58fBb73,3,17.76,5.92
122,Qirnft,Crypty Universe📊,https://images.asksurf.ai/zTO1tY-fLNUHQ-D0R_4GwcfiXxjuLm-m9Huy7T4_sBw/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5OTExNjUzNDczMDc1ODU1MzcvWk9HdDlCbnhfbm9ybWFsLmpwZw,0x8996a21b8cf30a741078f995d9a58f6c543a0ca4,2,17.75,8.88
123,mrvictor2626,MNWeb3,https://images.asksurf.ai/Ay4Ggha9D1Yvah3D_5vpByyZVM_ulazTG70Q6Ta6STs/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NTg4MzcxMjAxMTk3NTQ3NTIvSUo3akVsZEMuanBn,0xa3b1dc050f3a81f6fb5ffe52a7dc995545304198,6,17.53,2.92
124,azaztrader01,Ozan,https://images.asksurf.ai/2yO6keLaeQi4QjGeuXjDOV_u2UCPiwviiQAAAe93ka4/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5OTgxODkzMDQyOTI0NzQ4ODAveGk0VWgxUk1fbm9ybWFsLmpwZw,0xDaa357631250d237E46C2648c7CbF32Ed470A55d,4,17.50,4.38
125,onlyreaderx_,SofiX.eth (reader arc) 📖,https://images.asksurf.ai/QzKdUa7BGhW4mDsNEqiDl8H2KTotGXJEGZEBfJH8V2A/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDY1NjIxOTMxNzgwMTc3OTMvOE5RRHdTSWRfbm9ybWFsLmpwZw,0x3d3c9859CDe8eF1A51456f7166BB17d7CFb1D6e6,2,17.46,8.73
126,jitusorkar12,SADIQ ,https://images.asksurf.ai/06QlF_2wkmjPHymV6mEfY0dGGbyJ8YndkBWRYxOg7jI/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NjM2NzQ5ODg2ODQxNDg3MzcvVV9IR1JjaTZfbm9ybWFsLmpwZw,0x002CcB36a4e4Da1c24c6C84F8939D0141529c3ef,3,17.39,5.80
127,Josephoffiong4k,Mr_Josephhh 🤖ボッ,https://images.asksurf.ai/cKvdEa-OptMdZ3bYzFNby7q16FAz4ddKyWXj7L1p6CU/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5MTUwMDAxNDkzNzU0MDE5ODQvd0pWTkhtXzMuanBn,0xB23f40e5F70b5617aB0918123C39Aa20fb9Bc620,4,16.98,4.24
128,Abba__80,ABBA,https://images.asksurf.ai/EzTpwbkSZpFffnYDBCHxPyKw4lKz-sbPkRldasgW54g/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMTYxMDU1OTY0NzUzMjIzNjgvN05tcDZzVm5fbm9ybWFsLmpwZw,0x03fa24549d896DD8B582568BD17c27B1f63B1f10,3,16.97,5.66
129,lev_eth,LEV,https://images.asksurf.ai/EOuSr9QbtlRDhI4Qg4gZEiSJLq-OdcmsePk3Z6Cp9Ik/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5Mzg5MjgzNTk4NzU5OTc2OTYvQWdCWlNkeUNfbm9ybWFsLmpwZw,0x6c3a90c5Da8b1D74dEdE154B0e441927F2C97524,5,16.82,3.36
130,dashubtc,呆呆呆呆🔸🐬TermMax,https://images.asksurf.ai/Fw4Us0z9L0Ynxbau_UMEe7ocbtr73MGNqfN9HQ0SIBk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDg1ODU2OTgyMjA0MDQ3MzgvU0JCT2tRS2MuanBn,0x0D35D958ea4646D9378644848222dCcE4127BBa2,5,16.75,3.35
131,atlas16022015,heymen33,https://images.asksurf.ai/e8G-LyjmM1SIyoTEB-v0BM3tYpxQe4q2ZQlnqi_q0D4/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE3ODg5MTY1NjU5ODA2MTA1NjIvSERFbEpkV3Nfbm9ybWFsLmpwZw,0xC2838c5F882f43958ac6993b5195618595C3F283,2,16.44,8.22
132,HakanBilgetekin,hakan,https://images.asksurf.ai/qs-FfxzDXoZNs16WQFv1WIPMZ0wg_83fUG0QTrpjEIM/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NTM0MjczNTM5MTAwMTM5NTMvN29STHJLNWtfbm9ybWFsLmpwZw,0xF5C7F48887536E4E8F4a947472546bA81E74c569,3,16.25,5.42
133,varyant3500,mesut,https://images.asksurf.ai/MT4-R4rGHP7ajanHix3oZc1zZXJ55NDIrJeZ03JKbWk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE3Nzc3NDAyNTQ4MDk2NDA5NjAvdnUxc3YyX2hfbm9ybWFsLmpwZw,0x543e3C00E9C6C0Ed2Ef420302a574F1DCFa83e93,3,16.25,5.42
134,luluca_pp,luluca_pp,https://images.asksurf.ai/e2QgGgCxXyCaYRjJuY_1ANymamQ1mrRKb5b-hQFBRoU/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDIwMTkwNDYyMjEwNDU3NjAvdmx6NV80QnBfbm9ybWFsLmpwZw,0x750Ff9679d229CcC28Ba6E011bAc955926333146,3,16.06,5.35
135,apelkorv,apelkorv,https://images.asksurf.ai/GOyT8R5yYS_YdZQgfeSzF9bksG306UbFVD66zflsNjQ/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDE5MTU0NTUyNTQ4MTA2MjQvcFVtRlgybE9fbm9ybWFsLmpwZw,0x86515adbbc3A02D7f5cceD10885150502C776cBC,3,16.03,5.34
136,Nex0ra_,Nexora,,0x9ff4359d5f8611084e608139d99deefe740b9d3c,2,16.01,8.01
137,0xvinhpham,0xvinhpham,https://images.asksurf.ai/WgUOtKeM7cyfFgWezD5aqhuNVPsd_VTio5OkeqdF-II/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzI0MzgzMDA5NDcyMzQ4MTYveGVuSFBBUmEuanBn,0x3aedb97569ad578038498af46f071045b1f36476,4,16.00,4.00
138,Aemar00,Aemar (✱ ✱),https://images.asksurf.ai/FHJsFsreZXSwx-wMdlxztfOIn01iXDad9pG-pcRG2Ls/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDMxMTkwMjEyNTI2MjAyODgvak9LMXJoS1Bfbm9ybWFsLmpwZw,0x1d89d1cde8f01e5620debbcae90c312246a9f68c,3,16.00,5.33
